title,price,brand,latitude,longitude,location
Costco Casuarina,163.7,Costco,-32.233481,115.853714,SOR
Costco Perth Airport,163.7,Costco,-31.940377,115.951869,SOR
United Perth Airport,165.5,United,-31.956366,115.969749,SOR
Liberty Tapping,165.5,Liberty,-31.720162,115.783898,NOR
United Tapping,165.5,United,-31.719744,115.783408,NOR
Vibe Kwinana OPT,165.7,Vibe,-32.245503,115.78259,SOR
Atlas Fuel Ascot,165.9,Atlas,-31.925213,115.951987,SOR
Liberty Naval Base,167.5,Liberty,-32.197618,115.783018,SOR
Vibe Ascot,167.7,Vibe,-31.935968,115.934361,SOR
NightOwl Shell Redcliffe,167.9,Shell,-31.929508,115.945947,SOR
Atlas Fuel Kwinana,167.9,Atlas,-32.235848,115.780215,SOR
Burk Alkimos,168.3,Burk,-31.628239,115.69118,NOR
United Southern River,168.5,United,-32.121136,115.954582,SOR
United South Lake,168.5,United,-32.111481,115.838833,SOR
Vibe Canning Vale,168.7,Vibe,-32.075096,115.922947,SOR
United Maddington,168.9,United,-32.042356,115.99131,SOR
United Hepburn Heights,168.9,United,-31.81889,115.774096,NOR
Vibe Kwinana,169.3,Vibe,-32.247525,115.773262,SOR
X Convenience Alkimos,169.3,X Convenience,-31.621433,115.688754,NOR
Liberty Beckenham,169.5,Liberty,-32.022054,115.954779,SOR
Better Choice Naval Base,169.5,Better Choice,-32.206745,115.784712,SOR
Liberty O'Connor,169.5,Liberty,-32.063065,115.792017,SOR
Liberty Banksia Grove,169.5,Liberty,-31.703225,115.798512,NOR
Vibe Morley,169.5,Vibe,-31.887832,115.889889,NOR
Vibe Welshpool,169.7,Vibe,-31.994327,115.930681,SOR
Vibe Jandakot,169.7,Vibe,-32.090758,115.868846,SOR
Puma Henderson OPT,169.7,Puma,-32.15551,115.770485,SOR
7-Eleven Cockburn Central,169.7,7-Eleven,-32.120001,115.846548,SOR
Vibe Armadale,169.7,Vibe,-32.158168,116.001834,SOR
Petro Fuels Seville Grove,169.8,Petro Fuels,-32.136834,115.980305,SOR
United Byford,169.9,United,-32.2154436,116.0080304,SOR
United Armadale,169.9,United,-32.161492,116.0176,SOR
United Anketell,169.9,United,-32.211351,115.855637,SOR
United Bibra Lake,169.9,United,-32.093798,115.802588,SOR
Ampol Foodary Ashby,169.9,Ampol,-31.73256,115.80416,NOR
United Bassendean,169.9,United,-31.905283,115.932367,NOR
EG Ampol Ellenbrook,169.9,EG Ampol,-31.780889,115.969189,NOR
United Ellenbrook,169.9,United,-31.77852,115.96699,NOR
Ampol Foodary Kingsley,169.9,Ampol,-31.807038,115.788723,NOR
7-Eleven Landsdale,169.9,7-Eleven,-31.804934,115.835741,NOR
Liberty Landsdale,169.9,Liberty,-31.802758,115.837737,NOR
United Lexia,169.9,United,-31.795189,115.899559,NOR
EG Ampol Mirrabooka,169.9,EG Ampol,-31.873567,115.861407,NOR
United Mt Lawley,169.9,United,-31.925836,115.88017,NOR
Ampol Foodary North Wanneroo,169.9,Ampol,-31.625661,115.718259,NOR
7-Eleven Banksia Grove,169.9,7-Eleven,-31.703423,115.804315,NOR
United Osborne Park,169.9,United,-31.904837,115.80609,NOR
7-Eleven Booragoon,169.9,7-Eleven,-32.039537,115.822893,SOR
EG Ampol Canning Vale,169.9,EG Ampol,-32.072873,115.925469,SOR
Atlas Fuel Welshpool,169.9,Atlas,-31.993707,115.919139,SOR
7-Eleven Thornlie,169.9,7-Eleven,-32.06954,115.952095,SOR
Ampol Foodary Thornlie,169.9,Ampol,-32.061092,115.939257,SOR
EG Ampol Southern River,169.9,EG Ampol,-32.096399,115.935881,SOR
EG Ampol South Lake,169.9,EG Ampol,-32.115172,115.837032,SOR
Ampol Foodary O'Connor,169.9,Ampol,-32.05517,115.793146,SOR
United Myaree,169.9,United,-32.046212,115.812611,SOR
Ampol Foodary South Lake,169.9,Ampol,-32.108271,115.829221,SOR
United Leda,169.9,United,-32.260187,115.806552,SOR
Ampol Foodary Kwinana,169.9,Ampol,-32.248836,115.78268,SOR
United Kewdale,169.9,United,-31.990047,115.939258,SOR
United Hamilton Hill,169.9,United,-32.074926,115.780931,SOR
Liberty Gosnells,169.9,Liberty,-32.075216,116.005816,SOR
7-Eleven Forrestdale,169.9,7-Eleven,-32.123564,115.956257,SOR
United East Victoria Park,169.9,United,-31.98781,115.905402,SOR
EG Ampol Maddington West,169.9,EG Ampol,-32.049324,115.977502,SOR
Ampol Foodary Yanchep,169.9,Ampol,-31.552063,115.639632,NOR
Vibe Kwinana Town Centre,170.5,Vibe,-32.244599,115.815592,SOR
7-Eleven Kelmscott Central,170.7,7-Eleven,-32.118987,116.017576,SOR
7-Eleven Kelmscott,170.7,7-Eleven,-32.128644,115.999775,SOR
BP Kelmscott,170.7,BP,-32.118708,116.016589,SOR
BP Langford,170.7,BP,-32.04723,115.932375,SOR
7-Eleven Bassendean,170.9,7-Eleven,-31.9063297,115.9308682,NOR
NightOwl Shell Maddington,170.9,Shell,-32.045398,115.988733,SOR
United Neerabup,170.9,United,-31.672434,115.743141,NOR
United Northbridge,170.9,United,-31.945612,115.852438,NOR
Vibe Osborne Park,171.3,Vibe,-31.90631,115.813744,NOR
Vibe Charles St,171.3,Vibe,-31.922312,115.850264,NOR
Vibe Nollamara,171.3,Vibe,-31.880514,115.840339,NOR
Metro Malaga,171.3,Metro Petroleum,-31.855778,115.891559,NOR
Vibe Spearwood,171.5,Vibe,-32.105033,115.782419,SOR
Vibe Bedford,171.5,Vibe,-31.9,115.889257,NOR
Vibe Bassendean,171.5,Vibe,-31.901105,115.959118,NOR
Vibe Hamilton Hill,171.5,Vibe,-32.086143,115.777233,SOR
Vibe Port Kennedy,171.5,Vibe,-32.371578,115.762171,SOR
Vibe Yangebup,171.5,Vibe,-32.116891,115.795446,SOR
Puma Bayswater,171.7,Puma,-31.919556,115.929069,NOR
Puma Alexander Heights,171.7,Puma,-31.829326,115.852831,NOR
Lori's Fuel Supply,171.7,Independent,-32.135359,116.009481,SOR
Puma Welshpool,171.7,Puma,-31.991465,115.946469,SOR
7-Eleven Southern River,171.9,7-Eleven,-32.107884,115.939718,SOR
Coles Express Duncraig,171.9,Coles Express,-31.835583,115.782828,NOR
Coles Express Dianella,171.9,Coles Express,-31.905801,115.8827,NOR
EG Ampol Dianella,171.9,EG Ampol,-31.89674,115.871865,NOR
Coles Express Clarkson,171.9,Coles Express,-31.691894,115.716118,NOR
Ampol Foodary Clarkson,171.9,Ampol,-31.689369,115.715226,NOR
BP Caversham,171.9,BP,-31.871966,115.960195,NOR
Coles Express Banksia Grove,171.9,Coles Express,-31.70653,115.802679,NOR
Coles Express Ellenbrook,171.9,Coles Express,-31.775,115.96,NOR
EG Ampol Banksia Grove,171.9,EG Ampol,-31.70446,115.803863,NOR
Ampol Foodary Northlands,171.9,Ampol,-31.872542,115.830984,NOR
7-Eleven Stirling,171.9,7-Eleven,-31.8734,115.828839,NOR
EG Ampol Aveley,171.9,EG Ampol,-31.777467,115.987368,NOR
EG Ampol Alkimos,171.9,EG Ampol,-31.601902,115.680898,NOR
Coles Express Waikiki,171.9,Coles Express,-32.315121,115.753183,SOR
BP Woodbridge,171.9,BP,-31.890354,115.995715,SOR
Coles Express Willetton,171.9,Coles Express,-32.039109,115.893756,SOR
BP Ballajura,171.9,BP,-31.826611,115.877278,NOR
Ampol Willetton,171.9,Ampol,-32.039109,115.88406,SOR
Ampol Foodary Glendalough,171.9,Ampol,-31.922426,115.819754,NOR
BP Greenwood North,171.9,BP,-31.82089,115.815729,NOR
EG Ampol Morley Galleria,171.9,EG Ampol,-31.896262,115.895092,NOR
7-Eleven Malaga,171.9,7-Eleven,-31.856778,115.908098,NOR
Caltex Neerabup,171.9,Caltex,-31.67127,115.742022,NOR
Coles Express Mount Lawley,171.9,Coles Express,-31.923821,115.859281,NOR
Coles Express Ocean Reef,171.9,Coles Express,-31.76744,115.749421,NOR
EG Ampol Osborne Park,171.9,EG Ampol,-31.91058,115.81401,NOR
Coles Express Osborne Park,171.9,Coles Express,-31.907535,115.819092,NOR
EG Ampol Greenwood,171.9,EG Ampol,-31.822072,115.820539,NOR
7-Eleven Wangara,171.9,7-Eleven,-31.801955,115.827751,NOR
7-Eleven Wanneroo South,171.9,7-Eleven,-31.754313,115.804474,NOR
Coles Express Warwick (WA),171.9,Coles Express,-31.844434,115.812742,NOR
Caltex Yanchep,171.9,Caltex,-31.547779,115.641352,NOR
BP Koondoola,171.9,BP,-31.841924,115.858276,NOR
Coles Express Kingsley,171.9,Coles Express,-31.81975,115.805778,NOR
7-Eleven Joondalup,171.9,7-Eleven,-31.753934,115.765241,NOR
EG Ampol Joondalup Winton Road,171.9,EG Ampol,-31.74449,115.763128,NOR
7-Eleven Wanneroo,171.9,7-Eleven,-31.748986,115.801954,NOR
7-Eleven Morley,171.9,7-Eleven,-31.903344,115.903047,NOR
Coles Express Malaga,171.9,Coles Express,-31.863512,115.879279,NOR
Puma Armadale Central,171.9,Puma,-32.151032,116.01409,SOR
BP East Rockingham,171.9,BP,-32.276459,115.780512,SOR
Ampol Foodary Applecross,171.9,Ampol,-32.01154,115.850201,SOR
7-Eleven Golden Bay,171.9,7-Eleven,-32.420777,115.761055,SOR
7-Eleven Gosnells,171.9,7-Eleven,-32.089802,115.998682,SOR
Ampol Foodary Gosnells,171.9,Ampol,-32.079794,115.988117,SOR
Caltex Hamilton Hill South,171.9,Caltex,-32.093152,115.783081,SOR
Caltex Hamilton Hill North,171.9,Caltex,-32.075531,115.779519,SOR
Coles Express Karawara,171.9,Coles Express,-32.011927,115.884145,SOR
Ampol Foodary Kewdale,171.9,Ampol,-31.98365,115.955901,SOR
Coles Express Langford,171.9,Coles Express,-32.031879,115.938841,SOR
Caltex Munster,171.9,Caltex,-32.122463,115.784194,SOR
Ampol Foodary Murdoch,171.9,Ampol,-32.063419,115.835712,SOR
Coles Express Myaree,171.9,Coles Express,-32.039649,115.815283,SOR
BP Port Kennedy,171.9,BP,-32.371178,115.763127,SOR
7-Eleven Queens Park,171.9,7-Eleven,-31.997151,115.946773,SOR
BP Redcliffe,171.9,BP,-31.930469,115.944728,SOR
Ampol Foodary Riverton,171.9,Ampol,-32.03846,115.896732,SOR
Ampol Foodary Rockingham,171.9,Ampol,-32.2769,115.749819,SOR
Coles Express Westfield,171.9,Coles Express,-32.130396,116.000966,SOR
Coles Express South Perth,171.9,Coles Express,-31.974773,115.881635,SOR
Coles Express Southern River,171.9,Coles Express,-32.103521,115.934721,SOR
7-Eleven Carlisle,171.9,7-Eleven,-31.971624,115.918341,SOR
EG Ampol Cannington,171.9,EG Ampol,-32.01664,115.938196,SOR
BP Forrestdale,171.9,BP,-32.137312,115.969456,SOR
7-Eleven Canning Vale,171.9,7-Eleven,-32.092476,115.923934,SOR
Coles Express Bull Creek,171.9,Coles Express,-32.063327,115.857827,SOR
Coles Express Brentwood,171.9,Coles Express,-32.041448,115.848868,SOR
Coles Express Bicton,171.9,Coles Express,-32.03413,115.792776,SOR
BP Bibra Lake,171.9,BP,-32.103888,115.804171,SOR
7-Eleven Bibra Lake,171.9,7-Eleven,-32.101411,115.801664,SOR
Ampol Foodary Bentley,171.9,Ampol,-32.012142,115.914131,SOR
Coles Express Bentley,171.9,Coles Express,-32.000633,115.918698,SOR
7-Eleven Bentley,171.9,7-Eleven,-32.001754,115.918523,SOR
7-Eleven Ascot,171.9,7-Eleven,-31.941776,115.925077,SOR
Ampol Foodary Baldivis,171.9,Ampol,-32.330641,115.820995,SOR
7-Eleven Baldivis,171.9,7-Eleven,-32.308362,115.822017,SOR
Ampol Foodary Cannington,171.9,Ampol,-32.017556,115.934873,SOR
Vibe Wanneroo,172.5,Vibe,-31.751382,115.803426,NOR
Vibe West Swan,172.5,Vibe,-31.839036,115.990655,NOR
Caltex Yokine,172.7,Caltex,-31.904611,115.849565,NOR
Vibe Beechboro,172.7,Vibe,-31.869,115.924439,NOR
Caltex Merriwa,172.9,Caltex,-31.659802,115.706131,NOR
BP Naval Base,172.9,BP,-32.199892,115.781843,SOR
Caltex Parmelia,172.9,Caltex,-32.247336,115.816983,SOR
7-Eleven Rockingham,172.9,7-Eleven,-32.276643,115.777477,SOR
Caltex Warnbro,172.9,Caltex,-32.326142,115.749757,SOR
Vibe Piara Waters,173.5,Vibe,-32.146852,115.922099,SOR
Vibe Byford,173.5,Vibe,-32.221206,116.009206,SOR
Vibe Subiaco,173.5,Vibe,-31.952307,115.83115,NOR
Better Choice Tuart Hill,173.5,Better Choice,-31.897268,115.841447,NOR
Puma Lynwood,173.7,Puma,-32.035639,115.927034,SOR
Puma Como,173.7,Puma,-31.999152,115.862362,SOR
Puma Belmont,173.7,Puma,-31.946289,115.939633,SOR
Puma Victoria Park,173.7,Puma,-31.969957,115.891981,SOR
Puma Dianella,173.7,Puma,-31.906435,115.881917,NOR
Puma Landsdale,173.7,Puma,-31.801116,115.841526,NOR
Puma Osborne Park,173.7,Puma,-31.913639,115.828363,NOR
Puma Pearsall,173.7,Puma,-31.785754,115.826174,NOR
Puma Wanneroo,173.7,Puma,-31.752615,115.803432,NOR
Puma North Perth,173.7,Puma,-31.936638,115.85796,NOR
Puma Mindarie,173.7,Puma,-31.693672,115.713732,NOR
7-Eleven Haynes,173.9,7-Eleven,-32.147485,115.984399,SOR
7-Eleven Byford South,173.9,7-Eleven,-32.222078,116.005916,SOR
Caltex Burswood,173.9,Caltex,-31.960377,115.901915,SOR
Ampol Bibra Lake Diesel Stop,173.9,Ampol,-32.1094,115.8097,SOR
Ampol Foodary Belmont,173.9,Ampol,-31.937734,115.933447,SOR
Coles Express Beeliar,173.9,Coles Express,-32.128112,115.798736,SOR
Caltex Baldivis,173.9,Caltex,-32.353665,115.80765,SOR
BP Attadale,173.9,BP,-32.031651,115.808961,SOR
Ampol Foodary Ascot,173.9,Ampol,-31.94098,115.926337,SOR
Ampol Foodary Melville,173.9,Ampol,-32.031217,115.815428,SOR
7-Eleven Balcatta,173.9,7-Eleven,-31.860353,115.80964,NOR
Caltex Balcatta,173.9,Caltex,-31.862537,115.819152,NOR
7-Eleven Balga,173.9,7-Eleven,-31.856494,115.83739,NOR
EG Ampol Ballajura,173.9,EG Ampol,-31.847444,115.906385,NOR
Coles Express Bayswater,173.9,Coles Express,-31.906734,115.92665,NOR
Vibe Bullsbrook,173.9,Vibe,-31.671935,116.031427,NOR
Ampol Foodary Butler,173.9,Ampol,-31.65413,115.71258,NOR
7-Eleven Butler,173.9,7-Eleven,-31.635358,115.705554,NOR
Ampol Foodary Carine,173.9,Ampol,-31.846312,115.795363,NOR
7-Eleven Caversham,173.9,7-Eleven,-31.875469,115.974566,NOR
EG Ampol Currambine Marketplace,173.9,EG Ampol,-31.742211,115.740365,NOR
Caltex Dayton,173.9,Caltex,-31.851089,115.968786,NOR
Ampol Foodary Doubleview,173.9,Ampol,-31.901328,115.794203,NOR
BP Ellenbrook,173.9,BP,-31.775436,115.963073,NOR
7-Eleven Malvern Springs,173.9,7-Eleven,-31.766075,115.985544,NOR
EG Ampol Floreat,173.9,EG Ampol,-31.93672,115.793911,NOR
Ampol Foodary Byford,173.9,Ampol,-32.226368,116.008,SOR
Caltex Byford,173.9,Caltex,-32.207484,115.977648,SOR
Ampol Foodary Bannister Road,173.9,Ampol,-32.06343,115.926402,SOR
Ampol Foodary Livingston,173.9,Ampol,-32.087082,115.916536,SOR
Ampol Foodary Yangebup,173.9,Ampol,-32.127568,115.799158,SOR
Ampol Welshpool Diesel Stop,173.9,Ampol,-31.990084,115.962119,SOR
Ampol Foodary Warnbro,173.9,Ampol,-32.328853,115.758691,SOR
EG Ampol Warnbro,173.9,EG Ampol,-32.345819,115.761444,SOR
Ampol Foodary Thornlie Square,173.9,Ampol,-32.055755,115.96194,SOR
EG Ampol South Fremantle,173.9,EG Ampol,-32.073721,115.759177,SOR
Ampol Foodary Secret Harbour,173.9,Ampol,-32.407011,115.759423,SOR
BP Waikiki,173.9,BP,-32.310013,115.732329,SOR
7-Eleven Rockingham Central,173.9,7-Eleven,-32.291686,115.743091,SOR
Ampol Foodary Rivervale,173.9,Ampol,-31.953623,115.913619,SOR
EG Ampol Port Kennedy,173.9,EG Ampol,-32.373781,115.75592,SOR
Coles Express Palmyra,173.9,Coles Express,-32.047319,115.779904,SOR
Coles Express Girrawheen,173.9,Coles Express,-31.834601,115.828903,NOR
Caltex Murdoch,173.9,Caltex,-32.079195,115.842898,SOR
Caltex Maddington,173.9,Caltex,-32.034609,116.000915,SOR
Coles Express Maddington,173.9,Coles Express,-32.055352,115.979908,SOR
7-Eleven Maddington South,173.9,7-Eleven,-32.055377,115.9886,SOR
BP Welshpool,173.9,BP,-31.986384,115.936881,SOR
7-Eleven Kardinya,173.9,7-Eleven,-32.067327,115.815185,SOR
Ampol Foodary Cockburn Central,173.9,Ampol,-32.126786,115.862138,SOR
7-Eleven Harrisdale,173.9,7-Eleven,-32.125599,115.92601,SOR
Ampol Foodary Gosnells North,173.9,Ampol,-32.064148,115.999536,SOR
Caltex Forrestdale,173.9,Caltex,-32.14267,115.974144,SOR
Ampol Foodary Forrestdale,173.9,Ampol,-32.146558,115.965549,SOR
Ampol Foodary East Fremantle,173.9,Ampol,-32.040657,115.766241,SOR
BP Thornlie,173.9,BP,-32.063416,115.936309,SOR
Ampol Maddington Truck Stop,173.9,Ampol,-32.035207,115.999195,SOR
Caltex Gwelup,173.9,Caltex,-31.876337,115.79678,NOR
Ampol Foodary Altone Road,173.9,Ampol,-31.871201,115.945179,NOR
EG Ampol Whitfords,173.9,EG Ampol,-31.796683,115.745505,NOR
Ampol Foodary Wangara,173.9,Ampol,-31.787725,115.828285,NOR
Coles Express Wanneroo Pearsall,173.9,Coles Express,-31.780031,115.808184,NOR
Coles Express West Perth,173.9,Coles Express,-31.945494,115.839719,NOR
Ampol Foodary Westminster,173.9,Ampol,-31.867582,115.829765,NOR
BP Dog Swamp,173.9,BP,-31.911261,115.846928,NOR
Ampol Foodary Scarborough,173.9,Ampol,-31.893826,115.764402,NOR
Ampol Foodary East Perth,173.9,Ampol,-31.948689,115.869567,NOR
Ampol Rous Head,173.9,Ampol,-32.041146,115.738844,NOR
Ampol Foodary Nedlands,173.9,Ampol,-31.97762,115.813656,NOR
NightOwl Shell Highgate,173.9,Shell,-31.938231,115.877113,NOR
Ampol Foodary Subiaco,173.9,Ampol,-31.950616,115.824234,NOR
Ampol Foodary Karrinyup,173.9,Ampol,-31.882078,115.796245,NOR
Ampol Foodary Mosman Park,173.9,Ampol,-32.011969,115.755567,NOR
Ampol Foodary Morley,173.9,Ampol,-31.876015,115.92532,NOR
BP Morley,173.9,BP,-31.89446,115.90533,NOR
Ampol Foodary Malaga Drive,173.9,Ampol,-31.863189,115.893921,NOR
Ampol Foodary Malaga,173.9,Ampol,-31.848235,115.878484,NOR
Caltex Malaga,173.9,Caltex,-31.85295,115.882059,NOR
Ampol Foodary Leederville,173.9,Ampol,-31.936816,115.840025,NOR
Caltex Kiara,173.9,Caltex,-31.887138,115.93832,NOR
Caltex Joondalup,173.9,Caltex,-31.728704,115.76494,NOR
Ampol Foodary Joondalup,173.9,Ampol,-31.741328,115.764003,NOR
Ampol Foodary Mt Lawley,173.9,Ampol,-31.925179,115.881917,NOR
Coles Express Scarborough,173.9,Coles Express,-31.892841,115.757287,NOR
Puma Guildford,174.7,Puma,-31.901203,115.969087,SOR
Liberty Calista,174.8,Liberty,-32.248776,115.808019,SOR
BP Bull Creek,174.9,BP,-32.057051,115.865845,SOR
OTR Roleystone,174.9,Caltex,-32.115893,116.083267,SOR
BP Connect Phoenix,174.9,BP,-32.093975,115.783039,SOR
BP Connect Wellington Rd,174.9,BP,-31.894607,115.896666,NOR
Better Choice Como,175.5,Better Choice,-31.994235,115.859554,SOR
Better Choice Malaga,175.5,Better Choice,-31.855136,115.878229,NOR
BP Edgewater,175.7,BP,-31.763449,115.773396,NOR
Puma Wangara,175.7,Puma,-31.786174,115.819241,NOR
BP Connect Kwinana Hub,175.9,BP,-32.244379,115.81264,SOR
Coles Express Brookdale,175.9,Coles Express,-32.147485,115.985303,SOR
BP 2go Armadale,175.9,BP,-32.148535,116.020351,SOR
BP Canning Vale OPT,175.9,BP,-32.059609,115.930743,SOR
Coles Express Casuarina (WA),175.9,Coles Express,-32.232326,115.848215,SOR
BP Canning Vale,175.9,BP,-32.082253,115.909084,SOR
BP Kardinya,175.9,BP,-32.068996,115.819959,SOR
BP Huntingdale,175.9,BP,-32.071421,115.966472,SOR
Coles Express Fremantle,175.9,Coles Express,-32.063235,115.756663,SOR
Coles Express Victoria Park,175.9,Coles Express,-31.985535,115.896186,SOR
BP Connect Carlisle,175.9,BP,-31.972228,115.918797,SOR
BP Connect Ascot (WA),175.9,BP,-31.940482,115.927498,SOR
BP 2go Cannington,175.9,BP,-32.025805,115.941398,SOR
BP Jindalee,175.9,BP,-31.636611,115.689599,NOR
Coles Express Mosman Park,175.9,Coles Express,-32.005184,115.759304,NOR
Coles Express Leeming,175.9,Coles Express,-32.079015,115.858415,SOR
BP Connect Palm Springs,175.9,BP,-32.348315,115.761753,SOR
7-Eleven Success,175.9,7-Eleven,-32.126356,115.839346,SOR
BP Connect Myaree,175.9,BP,-32.045815,115.82024,SOR
Coles Express Butler,175.9,Coles Express,-31.638264,115.69551,NOR
Coles Express Claremont,175.9,Coles Express,-31.982195,115.78389,NOR
BP Connect Currambine,175.9,BP,-31.723736,115.74642,NOR
Coles Express Edgewater,175.9,Coles Express,-31.769548,115.778804,NOR
BP Embleton,175.9,BP,-31.8951,115.923206,NOR
BP Nookenburra,175.9,BP,-31.902714,115.799177,NOR
Coles Express Jolimont,175.9,Coles Express,-31.947273,115.811941,NOR
BP Malaga,175.9,BP,-31.862067,115.894445,NOR
Coles Express Wembley,175.9,Coles Express,-31.941023,115.811858,NOR
BP 2go Noranda,175.9,BP,-31.875859,115.894223,NOR
Coles Express Mount Pleasant,175.9,Coles Express,-32.012511,115.850077,SOR
Coles Express Perth,175.9,Coles Express,-31.940953,115.863904,NOR
Coles Express Wangara,176.9,Coles Express,-31.791963,115.852478,NOR
Karnup Roadhouse,176.9,BP,-32.427429,115.77467,SOR
Coles Express Cloverdale,176.9,Coles Express,-31.965057,115.933164,SOR
Coles Express Canning Vale,176.9,Coles Express,-32.070349,115.895596,SOR
Coles Express Bibra Lake,176.9,Coles Express,-32.116954,115.807471,SOR
Coles Express Armadale,176.9,Coles Express,-32.168864,116.014864,SOR
United Quinns Rocks,177.7,United,-31.672657,115.708282,NOR
BP Connect Riverton,177.9,BP,-32.038908,115.904355,SOR
BP Clarkson,177.9,BP,-31.693579,115.724971,NOR
BP Connect East Perth,177.9,BP,-31.95077,115.876572,NOR
BP Kewdale,177.9,BP,-31.981726,115.975223,SOR
BP Connect Main Street,177.9,BP,-31.896277,115.82855,NOR
BP Connect Padbury,177.9,BP,-31.813708,115.75932,NOR
BP Connect West Coast,177.9,BP,-31.894578,115.757975,NOR
BP Sorrento,177.9,BP,-31.832414,115.74792,NOR
BP 2go Woodvale,177.9,BP,-31.799887,115.795979,NOR
BP Applecross,177.9,BP,-32.01507,115.84318,SOR
BP Connect North Perth,177.9,BP,-31.926673,115.851901,NOR
BP Connect Beaumauris,177.9,BP,-31.752351,115.74064,NOR
Petro Fuels Baldivis,179.8,Petro Fuels,-32.309663,115.796699,SOR
BP Baldivis Southbound Travel Centre,179.9,BP,-32.309281,115.83277,SOR
BP Beeliar,179.9,BP,-32.127157,115.843357,SOR
BP Westgate,179.9,BP,-32.045365,115.753085,SOR
Shell Jarrahdale,179.9,Shell,-32.308753,116.006734,SOR
Coles Express Kewdale,179.9,Coles Express,-31.980262,115.958507,SOR
BP Connect Rockingham Park,179.9,BP,-32.289729,115.741484,SOR
Serpentine Falls Roadhouse,179.9,Independent,-32.364781,115.991703,SOR
BP South Fremantle,179.9,BP,-32.076871,115.760944,SOR
BP Connect South Perth,179.9,BP,-31.972713,115.852043,SOR
BP Baldivis Northbound Travel Centre,179.9,BP,-32.309137,115.830397,SOR
Coles Express Kwinana Beach,179.9,Coles Express,-32.243693,115.776587,SOR
BP Mindarie,179.9,BP,-31.677064,115.711197,NOR
BP 2go Burrendah,179.9,BP,-32.058316,115.882114,SOR
BP Connect Thomsons Lake,179.9,BP,-32.129169,115.853726,SOR
BP Connect Wembley,179.9,BP,-31.940547,115.820095,NOR
BP Connect Merriwa,179.9,BP,-31.670127,115.726195,NOR
BP Highgate,179.9,BP,-31.942556,115.867359,NOR
BP Rosegarden,179.9,BP,-31.979719,115.798235,NOR
BP Balcatta,179.9,BP,-31.865568,115.808055,NOR
BP Beldon,179.9,BP,-31.770792,115.767224,NOR
BP Greenwood,179.9,BP,-31.832441,115.802091,NOR
BP Henley Brook,179.9,BP,-31.795951,115.978636,NOR
BP Mullaloo,179.9,BP,-31.780051,115.744053,NOR
BP 2go Collins Road,179.9,BP,-32.055655,115.903652,SOR
United Swanbourne,189.9,United,-31.983608,115.767278,NOR
Mundijong Store & Deli,199.0,Independent,-32.29564,115.985466,SOR
